flow;avg;median;std;gini;herf;hoov;palm;thlt;thll;max;top01;top02;top05;top10;pc20;pc50;pc80
164;261.745;259.5;26.54675074;0.055173642;5.17E-05;0.038791476;3.991191115;0.00502152;-0.004931338;366;338.14;331.08;307.35;294.1;240;259.5;278
165;259.315;256;24.61312201;0.0514439;4.53E-05;0.036073019;3.879242453;0.004393968;-0.004307406;357;326.18;322.06;306.1;291.2;240;256;277
166;261.64;257;26.72209573;0.055283978;5.24E-05;0.03895811;3.978451564;0.005079086;-0.004973002;357;341.14;331.04;316.05;301;241.8;257;277
167;263.575;259;27.35003428;0.057179456;5.41E-05;0.040500332;3.960934579;0.005267339;-0.005181621;372;336.17;324.08;312.1;300.3;241;259;284
168;258.64;256;26.2339551;0.055009666;5.17E-05;0.038754253;3.966173362;0.005010111;-0.004907793;360;330.26;327.02;314;291.1;237;256;275
169;260.03;256;24.99198071;0.053013114;4.64E-05;0.037256086;4.001538757;0.004530404;-0.004462308;338;321.04;319.04;314.1;295.3;240;256;276.2
170;258.795;257;21.36405802;0.046371935;3.42E-05;0.033070191;3.90306702;0.003391255;-0.003386567;331;315.05;306.02;294;285;241;257;277
171;258.785;253.5;26.27981688;0.055875244;5.18E-05;0.039540352;3.878937381;0.005046642;-0.00496372;342;333.09;328.02;308.25;294;238.8;253.5;279.2
172;262.58;256;27.51842292;0.057694988;5.52E-05;0.042068703;3.796292931;0.005372131;-0.00528374;360;346.1;330.12;309.05;299;240;256;285
173;261.885;257;27.93853566;0.060090593;5.72E-05;0.043728163;3.811164333;0.005600977;-0.005536961;342;334.04;322.04;315.05;302;237;257;286
174;257.65;257;22.77383367;0.049569959;3.93E-05;0.034903939;3.905617119;0.003897618;-0.003904356;317;316.01;308.08;297.1;287.2;240.8;257;277
175;262.735;263.5;24.13720727;0.051704284;4.24E-05;0.036539289;3.861986804;0.004194753;-0.004186059;339;320.03;311.12;307.05;297.1;241;263.5;280.4
176;261.745;257;24.98059197;0.054169612;4.58E-05;0.040157501;3.752662936;0.004514568;-0.00449095;340;315.01;313;305;298.1;239;257;285
177;263.705;259;26.13135999;0.0561255;4.93E-05;0.040697655;3.7521398;0.004881642;-0.004874058;335;330.01;321.02;309.05;299.1;242;259;285
